country,datetime,temperature_celsius,precip_mm,humidity,wind_kph
Afghanistan,2024-05,20.305882352941175,1.85,38.05882352941177,11.51764705882353
Afghanistan,2024-06,25.59,2.18,24.833333333333332,17.11
Afghanistan,2024-07,31.303448275862067,0.01,17.93103448275862,20.731034482758623
Afghanistan,2024-08,30.848387096774193,1.15,20.548387096774192,20.19677419354839
Afghanistan,2024-09,28.216666666666665,0.43000000000000005,13.733333333333333,12.223333333333333
Afghanistan,2024-10,21.98709677419355,3.15,21.70967741935484,6.461290322580646
Afghanistan,2024-11,15.67,0.06,27.466666666666665,4.6466666666666665
Afghanistan,2024-12,7.174193548387097,0.01,22.387096774193548,4.235483870967743
Afghanistan,2025-01,1.3129032258064517,2.31,58.87096774193548,6.961290322580646
Afghanistan,2025-02,4.789285714285714,1.42,47.857142857142854,7.139285714285714
Afghanistan,2025-03,11.993548387096775,1.98,33.03225806451613,6.32258064516129
Afghanistan,2025-04,22.986666666666668,0.04,18.4,6.613333333333333
Afghanistan,2025-05,27.26774193548387,4.3500000000000005,17.483870967741936,10.783870967741937
Afghanistan,2025-06,31.013333333333332,0.06999999999999999,13.0,12.126666666666667
Afghanistan,2025-07,32.880645161290325,0.02,11.741935483870968,9.67741935483871
Afghanistan,2025-08,31.6,0.0,12.846153846153847,6.5
Albania,2024-05,25.647058823529413,5.02,57.529411764705884,13.076470588235294
Albania,2024-06,30.84333333333333,1.6,45.766666666666666,14.346666666666666
Albania,2024-07,34.63793103448276,3.17,37.0,18.78965517241379
Albania,2024-08,34.980645161290326,0.69,32.12903225806452,18.125806451612902
Albania,2024-09,27.516666666666666,11.68,48.266666666666666,9.120000000000001
Albania,2024-10,21.835483870967742,4.39,56.806451612903224,6.135483870967741
Albania,2024-11,13.783333333333333,2.59,59.13333333333333,6.133333333333334
Albania,2024-12,11.741935483870968,9.71,62.58064516129032,6.77741935483871
Albania,2025-01,13.425806451612903,3.2799999999999994,58.96774193548387,6.280645161290322
Albania,2025-02,12.428571428571429,0.5700000000000001,52.42857142857143,5.175
Albania,2025-03,16.067741935483873,7.45,51.61290322580645,7.719354838709678
Albania,2025-04,18.403333333333332,4.32,49.833333333333336,8.13
Albania,2025-05,21.664516129032258,6.58,50.96774193548387,8.22258064516129
Albania,2025-06,29.323333333333334,0.0,38.36666666666667,7.836666666666667
Albania,2025-07,30.361290322580647,0.45999999999999996,36.58064516129032,12.077419354838709
Albania,2025-08,30.092307692307692,0.0,39.92307692307692,8.053846153846154
Algeria,2024-05,26.11764705882353,0.01,45.705882352941174,22.61764705882353
Algeria,2024-06,27.89,0.0,46.733333333333334,23.71333333333333
Algeria,2024-07,30.29642857142857,0.0,53.82142857142857,16.84642857142857
Algeria,2024-08,31.483870967741936,0.0,51.74193548387097,17.580645161290324
Algeria,2024-09,28.43,0.55,50.63333333333333,15.01
Algeria,2024-10,23.76774193548387,0.78,62.12903225806452,10.425806451612903
Algeria,2024-11,19.44333333333333,2.57,66.3,9.496666666666666
Algeria,2024-12,14.748387096774193,1.87,61.58064516129032,10.332258064516129
Algeria,2025-01,15.019354838709678,3.11,63.03225806451613,13.22258064516129
Algeria,2025-02,15.424999999999999,1.4200000000000002,65.78571428571429,7.921428571428572
Algeria,2025-03,17.616129032258065,1.2999999999999998,60.96774193548387,15.070967741935483
Algeria,2025-04,19.7,2.0,59.13333333333333,11.743333333333334
Algeria,2025-05,22.274193548387096,2.87,60.29032258064516,11.958064516129031
Algeria,2025-06,28.503333333333334,0.0,55.1,10.463333333333333
Algeria,2025-07,29.34193548387097,0.13,55.806451612903224,12.261290322580644
Algeria,2025-08,27.161538461538463,0.0,58.38461538461539,11.3
Andorra,2024-05,12.423529411764704,5.9799999999999995,60.88235294117647,9.876470588235295
